source_line,section,spec_text,section_status,evidence
1,0,# CreativeManager — Standalone Django + React Platform,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
2,0,## MASTER CODEX BUILD SPECIFICATION / EXECUTION PROMPT,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
4,0,**Source reference:** `CreativeManager-v7.2.19-tested-youtube-resumable.zip`  ,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
5,0,**Target:** a production-ready standalone Creative Operations platform built with Django + React + SQLite.  ,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
6,0,"**Primary language direction:** Arabic/RTL first, with English and French support.  ",Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
7,0,"**Operating principle:** preserve the business behavior and useful features of the source module, fix its known defects, remove dependence on the old PHP Core Platform, and redesign the product as a clean standalone application with users, profiles, workspaces, roles, permissions, integrations, auditability, tests, documentation, and deployability.",Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
9,0,---,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
11,0,# 0. EXECUTION INSTRUCTION TO CODEX,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
13,0,Read this entire specification before editing or generating code.,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
15,0,"You are acting as the **senior staff software engineer, solution architect, security reviewer, QA engineer, DevOps engineer, and product engineer** for this project.",Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
17,0,"You are expected to use the full repository context and all available coding, search, inspection, test, lint, build, browser, terminal, and reasoning capabilities available to you.",Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
19,0,Do not treat this as a quick prototype.,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
21,0,The requested output is a **working platform suitable for real internal company use**.,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
23,0,## Mandatory working behavior,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
25,0,1. Inspect the complete supplied reference ZIP before building.,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
26,0,"2. Understand its workflows, schema, services, permissions, integrations, migrations, and UI behavior.",Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
27,0,3. Do not blindly translate PHP into Python.,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
28,0,4. Rebuild the domain cleanly using Django/React while preserving valid business behavior.,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
29,0,5. Do not copy known defects from the reference implementation.,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
30,0,"6. Build vertically usable functionality, not empty pages.",Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
31,0,7. Run tests continuously.,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
32,0,8. Do not stop after scaffolding.,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
33,0,9. Do not stop for routine checkpoints or ask whether to continue.,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
34,0,10. Work through the milestones automatically until the requested platform is complete.,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
35,0,"11. If a requirement is ambiguous, choose the safest maintainable production-quality interpretation and document the choice.",Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
36,0,12. Preserve already-passing functionality whenever you modify an existing implementation.,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
37,0,13. Never fabricate success from an external provider.,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
38,0,14. Never create fake external IDs in production code.,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
39,0,15. Mocks/fakes must live only in explicitly named test/development providers.,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
40,0,"16. A production provider without credentials, authorization, API capability, or a confirmed external response must fail clearly and safely.",Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
41,0,"17. Do not expose secrets, OAuth refresh tokens, access tokens, client secrets, passwords, or encryption keys in logs, API payloads, frontend state, or source control.",Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
42,0,"18. Deliver one coherent repository, not disconnected demos.",Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
43,0,"19. At completion, produce:",Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
44,0,    - fully runnable source;,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
45,0,    - migrations;,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
46,0,    - seed/demo command;,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
47,0,    - tests;,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
48,0,    - `.env.example`;,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
